0.00 -0.35 -0.53 0.09 0
1.05 0.00 -0.35 -0.53 0.09 0
0.97 -0.09 -0.35 -0.62 0.09 0
1.05 -0.09 -0.35 -0.62 0.09 0
0.97 -0.09 -0.35 -0.53 0.09 0
1.05 -0.09 -0.35 -0.62 0.09 0
0.97 -0.09 -0.35 -0.62 0.09 0
1.05 -0.09 -0.35 -0.53 0.09 0
1.05 0.00 -0.35 -0.53 0.09 0
0.97 -0.09 -0.35 -0.53 0.09 0
1.05 -0.09 -0.35 -0.62 0.09 0
1.05 -0.09 -0.35 -0.62 0.09 0
0.97 -0.09 -0.35 -0.53 0.09 0
1.05 0.00 -0.35 -0.53 0.09 0
1.05 -0.09 -0.35 -0.53 0.09 0
0.97 -0.09 -0.35 -0.53 0.09 0
0.97 -0.09 -0.35 -0.53 0.09 0
1.05 -0.09 -0.35 -0.53 0.09 0
1.05 -0.09 -0.35 -0.53 0.09 0
1.05 -0.09 -0.35 -0.62 0.09 0
0.97 -0.09 -0.35 -0.62 0.09 0
0.97 -0.09 -0.35 -0.53 0.09 0
1.05 -0.09 -0.35 -0.53 0.09 0
0.97 -0.09 -0.35 -0.53 0.09 0
0.97 0.00 -0.35 -0.62 0.09 0
0.97 -0.09 -0.35 -0.53 0.09 0
1.05 0.00 -0.35 -0.53 0.09 0
0.97 -0.09 -0.35 -0.62 0.09 0
1.05 -0.09 -0.35 -0.53 0.09 0
1.05 -0.09 -0.35 -0.53 0.09 0
0.97 0.00 -0.35 -0.62 0.09 0
1.05 -0.09 -0.35 -0.53 0.09 0
1.05 0.00 -0.35 -0.53 0.09 0
1.05 -0.09 -0.35 -0.62 0.09 0
0.97 -0.09 -0.35 -0.53 0.09 0
0.97 -0.09 -0.35 -0.53 0.09 0
1.05 -0.09 -0.35 -0.53 0.09 0
1.05 0.00 -0.35 -0.53 0.09 0
0.97 0.00 -0.35 -0.53 0.09 0
1.05 -0.09 -0.35 -0.53 0.09 0
1.05 0.00 -0.35 -0.53 0.09 0
1.05 0.00 -0.35 -0.53 0.09 0
1.05 0.00 -0.35 -0.53 0.09 0
1.05 -0.09 -0.35 -0.53 0.09 0
1.05 -0.09 -0.35 -0.62 0.09 0
0.97 0.00 -0.35 -0.53 0.09 0
1.05 0.00 -0.35 -0.53 0.09 0
1.05 -0.09 -0.35 -0.62 0.09 0
1.05 -0.09 -0.35 -0.53 0.09 0
1.05 -0.09 -0.35 -0.53 0.09 0
1.05 -0.09 -0.35 -0.53 0.09 0
0.97 -0.09 -0.35 -0.53 0.09 0
0.97 0.00 -0.35 -0.53 0.09 0
0.97 0.00 -0.35 -0.53 0.09 0
1.05 0.00 -0.35 -0.62 0.09 0
1.05 -0.09 -0.35 -0.53 0.09 0
1.05 -0.09 -0.35 -0.62 0.09 0
0.97 -0.09 -0.35 -0.53 0.09 0
1.05 0.00 -0.35 -0.62 0.09 0
1.05 0.00 -0.35 -0.53 
